% DMSP magnetic field model coefficients
% nmax:  15
% epoch: 2012.0
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4883.4929             -30.8851               1.1703
    1     0          -29471.2958              11.1845               1.3522
    1     1           -1554.3909              17.8835               2.3122
    2    -2            -601.5606             -12.9737              -0.6056
    2    -1           -2761.7594             -28.0031              -1.3956
    2     0           -2415.6689              -9.5228              -0.5000
    2     1            3021.6784              -2.2583               0.0771
    2     2            1671.8026               1.4984               0.5473
    3    -3            -541.5501              -1.1564               1.0525
    3    -2             247.7166              -1.6993               0.2952
    3    -1            -141.4423               8.8850              -0.7878
    3     0            1334.5554               1.6904               1.5036
    3     1           -2336.4075              -4.9913              -0.4806
    3     2            1228.4659              -1.7168               0.2588
    3     3             613.3750             -10.6008               0.0921
    4    -4            -315.1363              -3.6747              -1.1693
    4    -3             171.0770               3.3290               0.0922
    4    -2            -203.7923               4.2469               0.5860
    4    -1             286.9446              -0.1191              -0.0902
    4     0             908.7825              -1.3620              -0.3509
    4     1             812.6615               0.6069              -0.4537
    4     2             149.1432              -9.3067              -0.3556
    4     3            -346.9159               4.5608              -0.5095
    4     4              82.4673              -3.6735              -0.1156
    5    -5              99.8929              -0.3145               0.2850
    5    -4               6.3781               3.2427               0.0545
    5    -3            -116.8762               0.1948              -0.4919
    5    -2             192.6199               1.5224              -0.2886
    5    -1              45.0517               0.4298               0.2394
    5     0            -230.6676              -0.5073              -0.0791
    5     1             357.8660               0.8110               0.0855
    5     2             196.7319              -1.7525               0.1757
    5     3            -140.8631               0.1124              -0.0076
    5     4            -160.8768               1.0673              -0.0434
    5     5              -6.0135               1.7550               0.7764
    6    -6              58.6323               1.6582              -0.0673
    6    -5               4.6272               0.8594               0.0890
    6    -4             -66.8937              -0.1242               0.2382
    6    -3              59.8869              -0.6053              -0.0029
    6    -2              39.6085              -2.3008              -0.0988
    6    -1             -19.2216               0.1646              -0.0577
    6     0              72.3753              -0.7770              -0.4973
    6     1              69.4291              -0.0156              -0.0074
    6     2              75.7150              -0.4959              -0.0854
    6     3            -137.4148               2.1768               0.0863
    6     4             -25.3662              -1.2713              -0.0344
    6     5              12.7180              -0.1631               0.0426
    6     6             -75.4332               1.4473               0.0204
    7    -7              -2.1708               0.4182              -0.1020
    7    -6             -27.5902               0.0860               0.0130
    7    -5               5.8396              -0.6832              -0.0836
    7    -4              24.7628              -0.0858               0.0135
    7    -3               6.0166              -0.2482              -0.0427
    7    -2             -20.2207               0.4050              -0.0536
    7    -1             -57.5625               0.3827              -0.1626
    7     0              80.4797               0.0420              -0.1825
    7     1             -74.8522              -0.0073               0.1586
    7     2              -5.8782              -0.3162               0.1669
    7     3              47.8398               1.3055               0.0446
    7     4              14.1997               0.1876              -0.0288
    7     5              10.6547              -0.0014              -0.1076
    7     6              -0.3213              -0.9399               0.0309
    7     7               5.9789               0.4938              -0.0968
    8    -8               2.0460               0.0936              -0.0816
    8    -7             -10.0143               0.3388              -0.0366
    8    -6               6.3534              -0.3260              -0.0224
    8    -5              16.7184              -0.1127              -0.1131
    8    -4             -16.2716               0.5633              -0.0277
    8    -3              12.2124               0.3270               0.0505
    8    -2             -19.6106               0.2685               0.1308
    8    -1              12.1487               0.0262              -0.1809
    8     0              24.9495              -0.0214              -0.0421
    8     1               9.0865              -0.0385              -0.2142
    8     2             -14.7363              -0.3664               0.0107
    8     3              -4.8565               0.4877               0.0314
    8     4             -19.9424              -0.2231               0.0975
    8     5              12.3912               0.3348              -0.0779
    8     6              11.2539               0.1520              -0.0626
    8     7             -14.8186              -0.3875               0.0673
    8     8              -2.7323               0.4161              -0.0169
    9    -9               7.4612               0.2282               0.0335
    9    -8              -5.3786               0.3056               0.0424
    9    -7               1.6835              -0.1942              -0.0097
    9    -6               7.9048              -0.0809              -0.0139
    9    -5              -7.1353               0.0546              -0.0268
    9    -4              -7.1028               0.0125               0.0254
    9    -3              12.6628              -0.1459              -0.0377
    9    -2              11.2719              -0.0408              -0.0406
    9    -1             -22.3080              -0.2953              -0.0786
    9     0               5.4452               0.0421              -0.0103
    9     1               9.0125              -0.0695               0.0579
    9     2               1.9923              -0.1071               0.0989
    9     3              -4.5729               0.3388               0.0351
    9     4               2.0866              -0.4090              -0.0126
    9     5             -12.8613              -0.1761               0.0238
    9     6              -0.5293               0.0928              -0.0094
    9     7               8.4286               0.0059               0.0029
    9     8              -8.6776              -0.1407              -0.0100
    9     9             -10.2977              -0.0394              -0.0051
   10   -10              -8.5237              -0.0557              -0.0326
   10    -9              -1.7657               0.0908               0.0319
   10    -8              -2.3972              -0.1320               0.0076
   10    -7              -4.1000              -0.0613              -0.0046
   10    -6              -0.8017               0.0752              -0.0113
   10    -5              -7.3748              -0.0900               0.0021
   10    -4               4.3154              -0.0413               0.0260
   10    -3               4.4458              -0.0124               0.0198
   10    -2              -0.5204              -0.1361              -0.0102
   10    -1               4.0622               0.2054               0.0028
   10     0              -1.8712              -0.1047              -0.0158
   10     1              -5.4212               0.0695               0.0111
   10     2               1.2596               0.0916               0.0236
   10     3              -0.5120               0.1879              -0.0000
   10     4              -0.3272              -0.0471              -0.0010
   10     5               2.1062              -0.1392              -0.0312
   10     6              -0.5159              -0.0420               0.0192
   10     7               2.0937              -0.0094              -0.0026
   10     8               2.7104              -0.1485              -0.0389
   10     9              -1.2609              -0.1472              -0.0409
   10    10              -3.0408              -0.1017              -0.0269
   11   -11              -2.1859              -0.0774              -0.0035
   11   -10              -1.9920              -0.0287               0.0022
   11    -9              -2.2198              -0.0554              -0.0240
   11    -8              -1.2784              -0.0271               0.0071
   11    -7              -2.3878               0.0706               0.0012
   11    -6              -0.3056               0.0275              -0.0096
   11    -5               0.8267              -0.0234               0.0093
   11    -4              -1.5832               0.1230               0.0186
   11    -3              -0.5077               0.0184              -0.0029
   11    -2               2.4191               0.1560               0.0153
   11    -1              -0.5464              -0.1588              -0.0397
   11     0               2.7519               0.0858               0.0818
   11     1              -2.1348              -0.0121               0.0164
   11     2              -2.9444              -0.1297               0.0170
   11     3               1.8831               0.0317              -0.0512
   11     4              -0.5681              -0.0584              -0.0313
   11     5               0.4953               0.0288              -0.0048
   11     6              -0.7980              -0.0032               0.0152
   11     7               0.3631              -0.0139               0.0043
   11     8               1.7556               0.0091               0.0242
   11     9              -0.0094              -0.0323              -0.0104
   11    10               0.6224              -0.0157              -0.0117
   11    11               3.6538              -0.1017              -0.0038
   12   -12               0.8854              -0.0632              -0.0156
   12   -11              -0.2188              -0.0116              -0.0259
   12   -10              -0.8059               0.0002              -0.0319
   12    -9               0.2798               0.0078               0.0065
   12    -8               0.2565               0.0303              -0.0008
   12    -7              -0.0906              -0.0119               0.0076
   12    -6               0.6000              -0.0003               0.0063
   12    -5               0.5642              -0.0048              -0.0009
   12    -4              -2.2408               0.0323              -0.0072
   12    -3               2.0732               0.0427               0.0351
   12    -2              -0.2273              -0.0083               0.0231
   12    -1              -0.8220               0.0127               0.0875
   12     0              -1.9806               0.0102              -0.0398
   12     1               0.7561               0.0715               0.0229
   12     2               0.4849               0.0631               0.0441
   12     3               0.8348              -0.0223              -0.0029
   12     4              -0.5056               0.0065              -0.0095
   12     5               0.9615              -0.0131              -0.0026
   12     6              -0.1055               0.0436               0.0034
   12     7               0.4868              -0.0144              -0.0004
   12     8              -0.4606               0.0004               0.0139
   12     9              -0.3964              -0.0163               0.0150
   12    10               0.2114               0.0450               0.0244
   12    11              -0.8027              -0.0300              -0.0015
   12    12               0.0121              -0.0349               0.0075
   13   -13              -0.5120               0.0297              -0.0079
   13   -12              -0.4054              -0.0020              -0.0022
   13   -11              -0.2855              -0.0182               0.0075
   13   -10               0.4528              -0.0100              -0.0047
   13    -9               0.5768               0.0017              -0.0048
   13    -8              -0.0319              -0.0149               0.0108
   13    -7               0.4382              -0.0084               0.0041
   13    -6              -0.0466               0.0074              -0.0073
   13    -5              -1.0756               0.0084              -0.0046
   13    -4              -0.6345               0.0168              -0.0022
   13    -3               1.4016              -0.0678              -0.0310
   13    -2               0.9473               0.0212               0.0311
   13    -1              -0.5092              -0.0574               0.0067
   13     0              -0.5656               0.0877               0.0331
   13     1              -1.3162              -0.0295              -0.0524
   13     2               0.5156               0.0177               0.0117
   13     3               0.6845              -0.0405               0.0071
   13     4              -0.5490              -0.0501              -0.0134
   13     5               1.0392               0.0034               0.0108
   13     6              -0.3217               0.0074               0.0089
   13     7               0.9107               0.0161              -0.0031
   13     8              -0.1530               0.0078               0.0012
   13     9               0.2838               0.0002               0.0038
   13    10               0.1154              -0.0132              -0.0190
   13    11               0.3962               0.0096               0.0093
   13    12              -0.1865              -0.0039               0.0078
   13    13              -0.5427               0.0271               0.0174
   14   -14              -0.6169              -0.0349              -0.0208
   14   -13              -0.0981              -0.0142               0.0063
   14   -12              -0.0153              -0.0023               0.0325
   14   -11               0.1326              -0.0254              -0.0046
   14   -10               0.1341              -0.0015              -0.0159
   14    -9               0.3589               0.0074              -0.0050
   14    -8               0.1683              -0.0238              -0.0132
   14    -7               0.3867               0.0307               0.0072
   14    -6               0.3068               0.0120               0.0021
   14    -5              -0.0464              -0.0307              -0.0123
   14    -4               0.7840              -0.0099              -0.0153
   14    -3               0.7635               0.0936               0.0095
   14    -2              -1.1677               0.0220               0.0337
   14    -1               0.5574               0.0100              -0.0502
   14     0              -0.4208               0.0177               0.0441
   14     1               0.6475              -0.0105              -0.0038
   14     2              -0.4594              -0.1035              -0.0343
   14     3              -0.5642              -0.0025               0.0035
   14     4               0.2140               0.0674               0.0120
   14     5               0.1910              -0.0321              -0.0124
   14     6              -0.0580              -0.0024              -0.0015
   14     7              -0.1116               0.0027              -0.0097
   14     8               0.3431               0.0055              -0.0001
   14     9               0.0562               0.0080              -0.0011
   14    10               0.6655              -0.0038              -0.0043
   14    11              -0.2726               0.0222               0.0017
   14    12               0.2657              -0.0469              -0.0274
   14    13               0.2176               0.0380              -0.0433
   14    14               0.0471               0.0386               0.0352
   15   -15               0.0463              -0.0095              -0.0166
   15   -14              -0.0718               0.0532               0.0248
   15   -13               0.1206               0.0252              -0.0079
   15   -12              -0.2931              -0.0191              -0.0146
   15   -11              -0.1436               0.0096               0.0048
   15   -10              -0.0263               0.0056              -0.0115
   15    -9               0.1912              -0.0011               0.0060
   15    -8              -0.1600               0.0050              -0.0006
   15    -7               0.2866               0.0172               0.0071
   15    -6               0.0433              -0.0241              -0.0028
   15    -5               0.3135              -0.0049              -0.0136
   15    -4              -0.0812              -0.0454              -0.0232
   15    -3              -0.3028              -0.1393              -0.0198
   15    -2               0.3164               0.0015              -0.0055
   15    -1               1.2006               0.0857               0.0013
   15     0              -0.5254               0.0527              -0.0025
   15     1               0.4954               0.0372              -0.0320
   15     2               0.6662               0.0767              -0.0077
   15     3               0.4890              -0.0011               0.0098
   15     4              -0.4395              -0.0436              -0.0006
   15     5               0.0643               0.0061              -0.0097
   15     6              -0.1056              -0.0331              -0.0114
   15     7              -0.0280              -0.0007              -0.0110
   15     8               0.0574               0.0155               0.0085
   15     9              -0.2809              -0.0119              -0.0068
   15    10              -0.1074              -0.0060              -0.0132
   15    11               0.1977              -0.0148               0.0012
